Technical name,Description,Value Type,Range from - until,Unit
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_timestampInMillis,[protocol buffers field 1] timestamp when bike VDS data was taken.,int64,0 .. ,Unix Timestamp
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedLatitude,[protocol buffers field 2] Matched latitide value on the map.,float,-90 .. 90,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedLongitude,[protocol buffers field 3] Matched longitude value on the map.,float,-180 .. 180,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedElevation,[protocol buffers field 4] Matched elevation value on the map.,float,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedHeading,[protocol buffers field 5]  Matched heading value on the map.,float,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedHorizontalAccuracy,[protocol buffers field 6]  Matched horizontal accuracy value on the map.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedVerticalAccuracy,[protocol buffers field 7]  Matched vertical accuracy value on the map.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionMapMatchedSpeed,[protocol buffers field 8]  Matched speed value on the map.,float,0 .. ,km/h
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawLatitude,[protocol buffers field 9]  Raw VDS latitide value from bike.,float,-90 .. 90,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawLongitude,[protocol buffers field 10]  Raw VDS longitude value from bike.,float,-180 .. 180,Degrees
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawElevation,[protocol buffers field 11]  Raw VDS elevation value from bike.,float,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawHeading,[protocol buffers field 12]  Raw VDS heading value from bike.,float,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawHorizontalAccuracy,[protocol buffers field 13]  Raw VDS horizontal accuracy value from bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawVerticalAccuracy,[protocol buffers field 14]  Raw VDS vertical accuracy value from bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawSpeed,[protocol buffers field 15]  Raw VDS speed value from bike.,float,0 .. ,km/h
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_positionRawStatus,[protocol buffers field 16]  Raw VDS position status value from bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyActualConsumptionCombustion,[protocol buffers field 17]  Actual consumption combustion of the bike's engine.,float,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyAverageConsumptionCombustion,[protocol buffers field 18]  Average consumption combustion of the bike's engine.,float,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyAverageConsumptionElectric,[protocol buffers field 19]  Average consumption electric of the bike's engine.,float,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyAverageConsumptionForRangeCalculationCombustion,[protocol buffers field 20]  Average consumption for range calculation of the bike's engine.,float,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyEnergyLevel,[protocol buffers field 21]  Energy level of the bike.,float,0 .. 100,Percentage
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_energyRange,[protocol buffers field 22]  Remaining range.,int32,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_ridingAbsBraking,[protocol buffers field 23]  Riding ABS braking of the bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_ridingAscControl,[protocol buffers field 24]  Riding ACS control of the bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_ridingEngineSpeed,[protocol buffers field 25]  Riding engine speed of the bike.,int32,0 .. ,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_ridingGear,[protocol buffers field 26]  Riding gear of the bike.,int32,,0
ConnectedRide_CloudSync.ProtocolBuffers.BikeVdsData_ridingThrottleValue,[protocol buffers field 27]  Riding vehicle speed of the bike.,float,0 .. ,0
